Application,Model,MAPE
MMGU,Random Forest,5.69
MMGC,Random Forest,0.94
MMSU,Random Forest,0.52
MMSC,Random Forest,22.65
MAC,Random Forest,0.08
MAU,Random Forest,0.01
dotP,Random Forest,0.02
vAdd,Random Forest,0.01
MSA,Random Forest,0.42
MMGU,Decision Tree,3.76
MMGC,Decision Tree,0.58
MMSU,Decision Tree,0.66
MMSC,Decision Tree,0.78
MAC,Decision Tree,0.01
MAU,Decision Tree,0.01
dotP,Decision Tree,0.02
vAdd,Decision Tree,0.01
MSA,Decision Tree,0.05
MMGU,Linear Regression,36.27
MMGC,Linear Regression,24.75
MMSU,Linear Regression,25.66
MMSC,Linear Regression,17.21
MAC,Linear Regression,0.57
MAU,Linear Regression,0.09
dotP,Linear Regression,0.97
vAdd,Linear Regression,0.43
MSA,Linear Regression,2.35
