,AppName,block_x,compute_version,registers,smem,cmem,number_of_lines_kernel,occupancy,AppId
0,matMul_gpu_sharedmem,8,3,32,512,348,15,50,4
1,matMul_gpu_sharedmem,16,3,25,2048,348,15,100,4
2,matMul_gpu_sharedmem,32,3,25,8192,348,15,100,4
3,matMul_gpu_sharedmem,8,3,5,32,512,348,15,50
4,matMul_gpu_sharedmem,16,3,5,25,2048,348,15,100
5,matMul_gpu_sharedmem,32,3,5,25,8192,348,15,100
6,matMul_gpu_sharedmem,8,5,2,31,512,348,15,100
7,matMul_gpu_sharedmem,16,5,2,27,2048,348,15,100
8,matMul_gpu_sharedmem,32,5,2,27,8192,348,15,100
9,subSeqMax,128,3,28,16392,344,41,13,9
10,subSeqMax,128,3,5,28,16392,344,41,13
11,subSeqMax,128,5,2,32,16392,344,41,31
12,matMul_gpu_sharedmem_uncoalesced,8,3,32,512,348,15,50,3
13,matMul_gpu_sharedmem_uncoalesced,16,3,25,2048,348,15,100,3
14,matMul_gpu_sharedmem_uncoalesced,32,3,25,8192,348,15,100,3
15,matMul_gpu_sharedmem_uncoalesced,8,3,5,32,512,348,15,50
16,matMul_gpu_sharedmem_uncoalesced,16,3,5,25,2048,348,15,100
17,matMul_gpu_sharedmem_uncoalesced,32,3,5,25,8192,348,15,100
18,matMul_gpu_sharedmem_uncoalesced,8,5,2,31,512,348,15,100
19,matMul_gpu_sharedmem_uncoalesced,16,5,2,27,2048,348,15,100
20,matMul_gpu_sharedmem_uncoalesced,32,5,2,27,8192,348,15,100
21,vectorAdd,64,3,8,0,348,40,50,8
22,vectorAdd,256,3,8,0,348,40,100,8
23,vectorAdd,1024,3,8,0,348,40,100,8
24,vectorAdd,64,3,5,8,0,348,40,50
25,vectorAdd,256,3,5,8,0,348,40,100
26,vectorAdd,1024,3,5,8,0,348,40,100
27,vectorAdd,64,5,2,8,0,348,40,100
28,vectorAdd,256,5,2,8,0,348,40,100
29,vectorAdd,1024,5,2,8,0,348,40,100
30,matMul_gpu_uncoalesced,8,3,32,0,348,6,50,1
31,matMul_gpu_uncoalesced,16,3,32,0,348,6,100,1
32,matMul_gpu_uncoalesced,32,3,32,0,348,6,100,1
33,matMul_gpu_uncoalesced,8,3,5,32,0,348,6,50
34,matMul_gpu_uncoalesced,16,3,5,32,0,348,6,100
35,matMul_gpu_uncoalesced,32,3,5,32,0,348,6,100
36,matMul_gpu_uncoalesced,8,5,2,32,0,348,6,100
37,matMul_gpu_uncoalesced,16,5,2,32,0,348,6,100
38,matMul_gpu_uncoalesced,32,5,2,32,0,348,6,100
39,matrix_sum_normal,8,3,8,0,348,5,50,5
40,matrix_sum_normal,16,3,8,0,348,5,100,5
41,matrix_sum_normal,32,3,8,0,348,5,100,5
42,matrix_sum_normal,8,3,5,8,0,348,5,50
43,matrix_sum_normal,16,3,5,8,0,348,5,100
44,matrix_sum_normal,32,3,5,8,0,348,5,100
45,matrix_sum_normal,8,5,2,8,0,348,5,100
46,matrix_sum_normal,16,5,2,8,0,348,5,100
47,matrix_sum_normal,32,5,2,8,0,348,5,100
48,matMul_gpu,8,3,32,0,348,6,50,2
49,matMul_gpu,16,3,32,0,348,6,100,2
50,matMul_gpu,32,3,32,0,348,6,100,2
51,matMul_gpu,8,3,5,32,0,348,6,50
52,matMul_gpu,16,3,5,32,0,348,6,100
53,matMul_gpu,32,3,5,32,0,348,6,100
54,matMul_gpu,8,5,2,32,0,348,6,100
55,matMul_gpu,16,5,2,32,0,348,6,100
56,matMul_gpu,32,5,2,32,0,348,6,100
57,matrix_sum_coalesced,8,3,8,0,348,5,50,6
58,matrix_sum_coalesced,16,3,8,0,348,5,100,6
59,matrix_sum_coalesced,32,3,8,0,348,5,100,6
60,matrix_sum_coalesced,8,3,5,8,0,348,5,50
61,matrix_sum_coalesced,16,3,5,8,0,348,5,100
62,matrix_sum_coalesced,32,3,5,8,0,348,5,100
63,matrix_sum_coalesced,8,5,2,8,0,348,5,100
64,matrix_sum_coalesced,16,5,2,8,0,348,5,100
65,matrix_sum_coalesced,32,5,2,8,0,348,5,100
66,dotProd,64,3,13,256,348,17,50,7
67,dotProd,256,3,13,1024,348,17,100,7
68,dotProd,1024,3,13,4096,348,17,100,7
69,dotProd,64,3,5,13,256,348,17,50
70,dotProd,256,3,5,13,1024,348,17,100
71,dotProd,1024,3,5,13,4096,348,17,100
72,dotProd,64,5,2,13,256,348,17,100
73,dotProd,256,5,2,13,1024,348,17,100
74,dotProd,1024,5,2,13,4096,348,17,100
